FirstName,LastName,Gender,DellEmail,University,BusinessUnit,Degree,Major,Year,ReturningIntern,CampusLocation,TechnologiesOfInterest,TechnologiesUsing
Adriana,Newman,Male,Adriana.Newman@dell.com,Texas A&M - College Station,CSO,MBA,Communications,Junior,N,Texas - Round Rock,"employee satisfaction , workplace safety , compensation","business cycles , liabilities , mutual funds"
Allison,Tyler,Male,Allison.Tyler@dell.com,Worcester Polytechnic Inst.,CSO,Bachelors,Business,Senior,N,Texas - Round Rock,"customer relationships , publishing , packaging","computer architecture , microelectronics , motion control"
Adeline,Tyler,Male,Adeline.Tyler@dell.com,Santa Clara University,Telecom,Masters,Marketing,Sophomore,Y,Texas - Round Rock,"continuos integration , development , testing","Infrastructure , Grid Computing , Computer Graphics"
Alexandria,Parker,Female,Alexandria.Parker@dell.com,Georgia Institute of Technology,CSO,Bachelors,Data Science,Sophomore,N,Washington - Seattle,"Python , Infrastructure , software architecture","programmable logic , motion control , Signal processing"
Ellie,James,Female,Ellie.James@dell.com,Texas A&M University - College Station,CTO,Bachelors,Communications,Junior,N,Remote,"workplace safety , compensation , training","circuitry , Instrumentation , Computer aided design"
Clayton,Berry,Male,Clayton.Berry@dell.com,University of Virginia,P&O Marketing MBA,Bachelors,Data Science,Junior,N,Massachusets - Hopkinton,"Python , Encryption , Cybersecurity","Artifical intelligence , Java , Networks"
Esther,Taylor,Male,Esther.Taylor@dell.com,(CFT) University of Puerto Rico - Mayaguez,ISG,Bachelors,Business,Senior,N,Texas - Round Rock,"consulting , packaging","Photonics , computer architecture , Instrumentation"
Ryleigh,Brooks,Female,Ryleigh.Brooks@dell.com,University of Texas - Dallas,ISG,Bachelors,Data Science,Senior,N,Texas - Round Rock,"Analytics , Machine learning , Virtualization","workplace safety , performance management , onboarding"
Wren,Nelson,Female,Wren.Nelson@dell.com,Rice University,CSG,Bachelors,Data Science,Junior,N,Washington - Seattle,"Networks , Analytics , Cloud","Infrastructure , C , Python"
Arthur,Kelly,Female,Arthur.Kelly@dell.com,Duke University,CSG,Bachelors,Finance,Junior,N,Washington - Seattle,"capital gain , blockchain , liquidity","Networks , Analytics , Cloud"
Camille,Woods,Male,Camille.Woods@dell.com,University of Wisconsin - Madison (Engineering),CTO,Bachelors,Communications,Junior,N,Massachusets - Hopkinton,"Staffing , performance management , onboarding","capital gain , blockchain , liquidity"
Taylor,Allen,Male,Taylor.Allen@dell.com,Boston College,CSO,Bachelors,Business,Junior,N,Remote,"advertising , mass merchandising , customer relations","Staffing , performance management , onboarding"
Amora,Hanson,Male,Amora.Hanson@dell.com,University of Texas - Austin,CSO,Bachelors,Computer Engineering,Junior,Y,Remote,"Python , Networks , Machine learning","advertising , mass merchandising , customer relations"
Nicolas,James,Male,Nicolas.James@dell.com,Brigham Young University - Provo,Telecom,Masters,Mechanical Engineering,Senior,N,Massachusets - Hopkinton,"motion control , Pspice , embedded systems","Python , Networks , Machine learning"
Taylor,Hale,Male,Taylor.Hale@dell.com,Prairie View A&M,CSO,Masters,Computer Engineering,Senior,N,Washington - Seattle,"Big data , Networks , Computer Graphics","motion control , Pspice , embedded systems"
Ada,Price,Male,Ada.Price@dell.com,Duke University,CTO,Bachelors,Mechanical Engineering,Junior,N,Texas - Round Rock,"computer architecture , Simulink , embedded systems","Big data , Networks , Computer Graphics"
Molly,Evans,Male,Molly.Evans@dell.com,"UNIVERSITY OF NORTH CAROLINA, Kenan-Flagler Business School",P&O Marketing MBA,Bachelors,Business,Senior,N,California - Santa Clara,"wholesale , consulting , customer satisfaction","computer architecture , Simulink , embedded systems"
Jayce,Brown,Female,Jayce.Brown@dell.com,University of Houston,ISG,Masters,Electrical Engineering ,Junior,N,Texas - Round Rock,"Computer aided design , mechatronics , optics","wholesale , consulting , customer satisfaction"
Teagan,Watson,Female,Teagan.Watson@dell.com,Washington State University,ISG,MBA,Business,Junior,N,Texas - Round Rock,"wholesale , product design , income statement","Computer aided design , mechatronics , optics"
Melanie,Schultz,Female,Melanie.Schultz@dell.com,Texas Southern University,CSG,Masters,Marketing,Senior,N,Remote,"development , Product roadmaps , management",Cloud
Khalil,Nelson,Female,Khalil.Nelson@dell.com,University of Massachusetts - Amherst,CSG,Bachelors,Business,Sophomore,N,California - Santa Clara,"marketing , consulting , income statement","Data engineering, Python, SQL,"
Iris,Roberts,Male,Iris.Roberts@dell.com,Boston University,CTO,Bachelors,Mechanical Engineering,Sophomore,N,Washington - Seattle,"Pspice , programmable logic , embedded systems","bookeeping , packaging , advertising"
Freya,Gutierrez,Male,Freya.Gutierrez@dell.com,Worcester Polytechnic Inst.,CSO,Bachelors,Data Science,Sophomore,Y,Washington - Seattle,"cashflow , automation , mutual funds","automation , liabilities , blockchain"
Natalia,Barrett,Female,Natalia.Barrett@dell.com,North Carolina State University,CSO,Masters,Computer Science,Junior,N,Washington - Seattle,"Cybersecurity , Computer Graphics , Artifical intelligence","Instrumentation , Photonics , Computer aided design"
Travis,Jones,Male,Travis.Jones@dell.com,University of North Carolina,Telecom,Bachelors,Mechanical Engineering,Senior,N,Texas - Round Rock,"computer architecture , Signal processing , Computer aided design","customer support , Product roadmaps , testing"
Zayne,Cruz,Female,Zayne.Cruz@dell.com,Brigham Young University - Provo,CSO,Masters,Business,Junior,N,California - Santa Clara,"advertising , publishing","Data , Encryption , Big data"
Maya,Young,Female,Maya.Young@dell.com,Walla Walla University,CTO,Masters,Business,Junior,N,Texas - Round Rock,"customer satisfaction , mass merchandising","embedded systems , programmable logic , Instrumentation"
Matthew,Young,Female,Matthew.Young@dell.com,University of Texas - Austin,P&O Marketing MBA,Bachelors,Communications,Senior,N,Washington - Seattle,"employee satisfaction , recruiting , workplace safety","Staffing , employee satisfaction , training"
Hannah,Green,Female,Hannah.Green@dell.com,Brigham Young University - Provo,ISG,Masters,Marketing,Sophomore,N,Remote,"customer support , customer validation , testing","circuitry , programmable logic , computer architecture"
Sydney,Anderson,Male,Sydney.Anderson@dell.com,"THE UNIVERSITY OF TEXAS AT AUSTIN, McCombs School of Business",ISG,Bachelors,Business,Sophomore,N,Texas - Round Rock,"customer satisfaction , packaging","Computer aided design , programmable logic , computer architecture"
Logan,Anderson,Male,Logan.Anderson@dell.com,"University of California, Riverside",CSG,Masters,Marketing,Senior,N,Washington - Seattle,"continuos integration , development","optics , mechatronics , embedded systems"
Lilah,Gill,Female,Lilah.Gill@dell.com,University of Wisconsin - Madison (Engineering),CSG,Bachelors,Data Science,Senior,N,Texas - Round Rock,"Visualization , Cloud , Big data","Agile , testing , customer support"
Jaden,Barnes,Male,Jaden.Barnes@dell.com,University of California - Berkeley,CTO,Bachelors,Marketing,Junior,Y,Texas - Round Rock,"management , Agile , user desing","probability theory , capital gain , liabilities"
Fiona,Roberts,Female,Fiona.Roberts@dell.com,University of Wisconsin - Madison (Engineering),CSO,Masters,Computer Science,Junior,N,Remote,"Infrastructure , Visualization ","training , recruiting , performance management"
